ENTRY;Domestic;Transnational
1970-01;15;8
1970-02;11;11
1970-03;13;6
1970-04;11;8
1971-01;8;4
1971-02;13;6
1971-03;13;4
1971-04;6;13
1972-01;6;15
1972-02;6;17
1972-03;2;21
1972-04;6;30
1973-01;19;17
1973-02;11;17
1973-03;19;21
1973-04;51;17
1974-01;21;17
1974-02;23;32
1974-03;23;30
1974-04;38;30
1975-01;32;19
1975-02;19;8
1975-03;38;17
1975-04;55;30
1976-01;53;32
1976-02;61;36
1976-03;25;63
1976-04;49;32
1977-01;61;34
1977-02;84;27
1977-03;40;11
1977-04;61;33
1978-01;77;11
1978-02;72;25
1978-03;63;19
1978-04;123;23
1979-01;185;31
1979-02;211;36
1979-03;141;19
1979-04;49;48
1980-01;194;36
1980-02;245;56
1980-03;167;35
1980-04;180;47
1981-01;146;46
1981-02;150;41
1981-03;124;35
1981-04;159;49
1982-01;107;27
1982-02;121;30
1982-03;99;32
1982-04;102;24
1983-01;129;25
1983-02;123;14
1983-03;120;23
1983-04;157;25
1984-01;139;39
1984-02;181;31
1984-03;188;25
1984-04;163;21
1985-01;109;35
1985-02;194;20
1985-03;158;30
1985-04;145;14
1986-01;193;27
1986-02;191;35
1986-03;164;19
1986-04;91;35
1987-01;129;10
1987-02;235;16
1987-03;255;22
1987-04;222;23
1988-01;310;33
1988-02;318;30
1988-03;270;14
1988-04;295;23
1989-01;308;26
1989-02;284;41
1989-03;397;35
1989-04;347;35
1990-01;265;46
1990-02;375;25
1990-03;298;25
1990-04;235;26
1991-01;167;56
1991-02;181;18
1991-03;238;43
1991-04;213;28
1992-01;257;42
1992-02;247;36
1992-03;282;39
1992-04;261;39
1993-01;331;56
1993-02;304;59
1993-03;277;61
1993-04;249;64
1994-01;196;55
1994-02;147;56
1994-03;120;54
1994-04;186;30
1995-01;148;30
1995-02;137;22
1995-03;152;22
1995-04;143;32
1996-01;153;31
1996-02;153;26
1996-03;144;28
1996-04;153;23
1997-01;164;36
1997-02;164;30
1997-03;218;30
1997-04;195;28
1998-01;110;10
1998-02;60;13
1998-03;89;18
1998-04;96;14
1999-01;69;20
1999-02;51;15
1999-03;115;10
1999-04;92;17
2000-01;122;9
2000-02;88;24
2000-03;133;16
2000-04;118;11
2001-01;76;9
2001-02;74;8
2001-03;306;23
2001-04;121;8
2002-01;116;15
2002-02;105;16
2002-03;110;11
2002-04;81;13
2003-01;176;20
2003-02;80;20
2003-03;82;4
2003-04;52;8
2004-01;52;8
2004-02;113;15
2004-03;97;7
2004-04;48;6
2005-01;67;9
2005-02;99;8
2005-03;144;14
2005-04;82;12
2006-01;127;16
2006-02;155;22
2006-03;112;20
2006-04;96;14
2007-01;114;19
2007-02;217;31
2007-03;145;13
2007-04;235;14
2008-01;169;32
2008-02;133;25
2008-03;105;11
2008-04;93;20
2009-01;103;17
2009-02;151;9
2009-03;191;14
2009-04;147;10
2010-01;121;13
2010-02;157;8
2010-03;204;9
2010-04;129;20
