"aar","maaned","bnpdef"
1950,1,15.105
1950,4,15.329
1950,7,15.597
1950,10,15.989
1951,1,16.111
1951,4,16.254
1951,7,16.556
1951,10,16.597
1952,1,16.531
1952,4,16.35
1952,7,16.256
1952,10,16.272
1953,1,16.222
1953,4,16.286
1953,7,16.63
1953,10,16.95
1954,1,17.582
1954,4,17.69
1954,7,17.7
1954,10,17.896
1955,1,17.879
1955,4,17.913
1955,7,18.119
1955,10,18.172
1956,1,18.172
1956,4,18.206
1956,7,18.276
1956,10,18.316
1957,1,18.375
1957,4,18.392
1957,7,18.425
1957,10,18.477
1958,1,18.566
1958,4,18.644
1958,7,18.783
1958,10,18.973
1959,1,19.165
1959,4,19.276
1959,7,19.524
1959,10,19.599
1960,1,19.876
1960,4,20.012
1960,7,20.131
1960,10,20.133
1961,1,20.355
1961,4,20.419
1961,7,20.553
1961,10,20.656
1962,1,20.704
1962,4,20.704
1962,7,20.753
1962,10,20.84
1963,1,20.931
1963,4,21.004
1963,7,21.084
1963,10,21.146
1964,1,21.192
1964,4,21.237
1964,7,21.303
1964,10,21.375
1965,1,21.501
1965,4,21.533
1965,7,21.585
1965,10,21.653
1966,1,21.702
1966,4,21.745
1966,7,21.788
1966,10,21.951
1967,1,22.016
1967,4,22.073
1967,7,22.16
1967,10,22.27
1968,1,22.383
1968,4,22.48
1968,7,22.563
1968,10,22.707
1969,1,22.855
1969,4,23.048
1969,7,23.291
1969,10,23.505
1970,1,23.612
1970,4,23.741
1970,7,23.975
1970,10,24.241
1971,1,24.506
1971,4,24.763
1971,7,25.008
1971,10,25.362
1972,1,25.626
1972,4,25.958
1972,7,26.332
1972,10,26.675
1973,1,27.056
1973,4,27.428
1973,7,27.647
1973,10,28.004
1974,1,28.425
1974,4,28.798
1974,7,29.089
1974,10,29.322
1975,1,29.781
1975,4,29.959
1975,7,30.25
1975,10,30.652
1976,1,31.02
1976,4,31.5
1976,7,32.114
1976,10,32.75
1977,1,33.376
1977,4,34.162
1977,7,35.166
1977,10,36.218
1978,1,37.05
1978,4,37.614
1978,7,38.313
1978,10,38.987
1979,1,39.418
1979,4,39.84
1979,7,40.385
1979,10,41.122
1980,1,41.796
1980,4,42.401
1980,7,42.917
1980,10,43.852
1981,1,44.505
1981,4,45.321
1981,7,46.072
1981,10,47.047
1982,1,47.876
1982,4,49.058
1982,7,50.115
1982,10,51.117
1983,1,52.195
1983,4,53.349
1983,7,54.56
1983,10,56.071
1984,1,57.517
1984,4,58.598
1984,7,59.641
1984,10,60.729
1985,1,61.555
1985,4,62.302
1985,7,63.182
1985,10,63.863
1986,1,64.388
1986,4,64.853
1986,7,65.517
1986,10,66.012
1987,1,66.837
1987,4,67.414
1987,7,67.953
1987,10,68.385
1988,1,69.155
1988,4,69.55
1988,7,69.838
1988,10,70.289
1989,1,70.652
1989,4,71.015
1989,7,71.426
1989,10,71.893
1990,1,72.487
1990,4,72.882
1990,7,73.425
1990,10,73.958
1991,1,74.587
1991,4,75.3
1991,7,76.141
1991,10,76.712
1992,1,77.58
1992,4,78.324
1992,7,78.879
1992,10,79.425
1993,1,80.375
1993,4,81.311
1993,7,82.031
1993,10,82.646
1994,1,83.626
1994,4,84.165
1994,7,84.762
1994,10,85.206
1995,1,85.721
1995,4,86.19
1995,7,86.58
1995,10,87.029
1996,1,87.707
1996,4,88.19
1996,7,88.57
1996,10,89.038
1997,1,89.578
1997,4,89.954
1997,7,90.53
1997,10,90.952
1998,1,91.53
1998,4,91.859
1998,7,92.289
1998,10,92.733
1999,1,93.328
1999,4,93.659
1999,7,93.951
1999,10,94.45
2000,1,95.054
2000,4,95.206
2000,7,95.534
2000,10,95.846
2001,1,96.089
2001,4,96.249
2001,7,96.6
2001,10,96.934
2002,1,97.328
2002,4,97.674
2002,7,98.013
2002,10,98.432
2003,1,99.317
2003,4,99.745
2003,7,100.259
2003,10,100.666
2004,1,101.478
2004,4,102.252
2004,7,102.675
2004,10,103.191
2005,1,103.568
2005,4,103.938
2005,7,104.328
2005,10,104.907
2006,1,105.724
2006,4,106.062
2006,7,106.611
2006,10,107.19
2007,1,108.175
2007,4,109.178
2007,7,109.793
2007,10,110.671
2008,1,111.765
2008,4,112.346
2008,7,113.468
2008,10,114.525
2009,1,115.533
2009,4,116.317
2009,7,117.107
2009,10,117.732
2010,1,118.956
2010,4,119.547
2010,7,119.997
2010,10,120.743
2011,1,121.508
2011,4,121.89
2011,7,123.056
2011,10,123.244
